,School_ID,Long_Name,Total_Student,No_white,Pct_white,No_black,Pct_black,No_pacific,Pct_pacific,No_native,Pct_native,No_hispanic,Pct_hispanic,No_multi,Pct_multi,No_asian,Pct_asian,No_hawaiian,Pct_hawaiian,No_unknown,Pct_unknown,Short_Name,School_Type,Address,City,State,Zip,School Name,College Readiness Index
0,609720,Albert G Lane Technical High School,4520,1599,35.4,352,7.8,5,0.1106,17,0.3761,1808,40,132,2.92,474,10.487,13,0.2876,120,2.655,LANE TECH HS,Selective enrollment,2501 W ADDISON ST,Chicago,Illinois,60618,Lane Technical High School,86.5
1,609719,Lake View High School,1385,180,13,142,10.3,0,0,9,0.6498,976,70.5,31,2.24,43,3.105,3,0.2166,1,0.072,LAKE VIEW HS,Neighborhood,4015 N ASHLAND AVE,Chicago,Illinois,60613,Lake View High School,27.4
2,609730,Nicholas Senn High School,1420,150,10.6,359,25.3,0,0,7,0.493,594,41.8,34,2.39,257,18.099,11,0.7746,8,0.563,SENN HS,Neighborhood,5900 N GLENWOOD AVE,Chicago,Illinois,60660,Senn High School,27.6
3,609724,Stephen T Mather High School,1490,248,16.6,198,13.3,0,0,10,0.6711,576,38.7,22,1.48,429,28.792,7,0.4698,0,0,MATHER HS,Neighborhood,5835 N LINCOLN AVE,Chicago,Illinois,60659,Mather High School,30.1
4,609734,William Howard Taft High School,3432,1598,46.6,74,2.2,0,0,10,0.2914,1353,39.4,84,2.45,272,7.925,8,0.2331,33,0.962,TAFT HS,Neighborhood,6530 W BRYN MAWR AVE,Chicago,Illinois,60631,Taft High School,35.2
5,609679,Charles Allen Prosser Career Academy High School,1329,25,1.9,257,19.3,0,0,6,0.4515,1033,77.7,2,0.15,5,0.376,1,0.0752,0,0,PROSSER HS,Career academy,2148 N LONG AVE,Chicago,Illinois,60639,Prosser Career Academy High School,41.5
6,609694,John Hancock College Preparatory High School,1013,28,2.8,18,1.8,0,0,4,0.3949,952,94,0,0,11,1.086,0,0,0,0,HANCOCK HS,Selective enrollment,4034 W 56TH ST,Chicago,Illinois,60629,Hancock College Preparatory High School,34.3
7,609756,Marie Sklodowska Curie Metropolitan High School,2913,58,2,374,12.8,0,0,10,0.3433,2412,82.8,10,0.34,48,1.648,1,0.0343,0,0,CURIE HS,Magnet,4959 S ARCHER AVE,Chicago,Illinois,60632,Curie Metropolitan High School,27.7
8,609691,North-Grand High School,993,9,0.9,169,17,0,0,4,0.4028,805,81.1,3,0.3,3,0.302,0,0,0,0,NORTH-GRAND HS,Neighborhood,4338 W WABANSIA AVE,Chicago,Illinois,60639,North-Grand High School,26.1
9,609740,Wells Community Academy High School,365,18,4.9,176,48.2,0,0,0,0,162,44.4,5,1.37,2,0.548,0,0,2,0.548,WELLS HS,Neighborhood,936 N ASHLAND AVE,Chicago,Illinois,60622,Wells Community Academy High School,24.2
