School Name,College Readiness Index
Payton College Preparatory High School,95.8
Northside College Preparatory High School,87.0
Jones College Prep High School,84.7
Young Magnet High School,83.8
Lane Technical High School,86.5
Lindblom Math and Science Academy,67.4
Brooks College Prep Academy High School,69.5
Lincoln Park High School,66.9
Phoenix Military Academy High School,78.7
Noble St Chtr-Noble Campus,58.1
Noble St Chtr-Pritzker Col Prep,51.5
Westinghouse High School,52.5
Muchin College Prep,52.8
UIC College Prep,52.3
Noble St Chtr-Golder College Prep,53.3
Noble St Chtr Rauner College Prep,53.7
King College Prep High School,42.8
Hancock College Preparatory High School,34.3
Devry Advantage Academy High School,38.9
Solorio Academy High School,54.3
The Noble Academy,30.0
Noble St Chtr-Chicago Bulls Prep,37.6
Von Steuben Metro Science High School,38.1
Kenwood Academy High School,37.2
Chicago Math and Sci Elem Charter,35.5
ITW Speer Academy,25.5
Infinity Math Science and Tech High School,41.9
Ogden Int High School,50.3
Back Of The Yards Ib Hs,29.0
Rickover Naval Academy High School,44.9
Prosser Career Academy High School,41.5
Noble St Chtr-Rowe-Clark Ms Acad,29.4
Noble St Chtr-Comer College Prep,28.4
CICS Northtown Academy,32.3
Amundsen High School,11.0
World Language High School,48.5
South Shore Intl Col Prep High School,32.0
Taft High School,35.2
Acero Chtr Netrk -  Major Garcia,35.4
Chicago High School for the Arts,34.9
Mather High School,30.1
Chicago High School for Agricult Sciences,16.8
Disney Ii Magnet Hs,24.8
Senn High School,27.6
Noble St Chtr-Butler - Crimson,16.6
Crane Medical Prep Hs,24.0
Noble St Chtr-Baker Campus,14.7
Hubbard High School,40.1
Kennedy High School,24.5
Intrinsic Charter High School,44.4
Noble St Chtr-Johnson Colg Prep,25.7
Lake View High School,27.4
Carver Military Academy High School,16.1
Washington G High School,25.9
Noble St Chtr-Drw Trading Col,16.5
Curie Metropolitan High School,27.7
Chicago Academy High School,20.6
Young Womens Leadership Chartr High School,39.3
Catalyst Charter - Maria Es,28.5
Goode Stem Academy Hs,20.2
Epic Academy High School,20.2
Kelly High School,25.9
Chicago Military Academy High School,15.2
North-Grand High School,26.1
Noble St Chtr-Hansberry Prep Slvr,11.6
Morgan Park High School,13.5
Williams Medical Prep High School,18.1
Aspira Charter - Early College Pr,38.3
Alcott Humanities High School,19.2
North Lawndale Prep Chtr - Christ,12.7
Marine Leadership Academy - Ames,15.6
Multicultural Acad of Scholarshp High School,31.0
Air Force Acad High School,12.3
Wells Community Academy High School,24.2
Legal Prep Academy Charter Hs,10.3
Ihsca Charter High School,30.3
Steinmetz College Prep High School,22.9
Phillips Academy High School,7.3
Chicago Technology Academy High School,14.7
Perspectives Chtr - Leadership Ac,5.8
